PROCESO	INDICADOR	ETAPA	CICLO	CURSO	UNIDAD	VALORR	VALORC
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Administraci¢n y Finanzas)	2ß Adm-Fin	25,71	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	1 D.A.Mult	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Administraci¢n y Finanzas)	1ß Adm-Fin	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	2ß ITelec	26,17	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	2ß Ins Aut	48,55	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Gesti¢n Administrativa)	2ß Gesti¢n	66,3	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Actividades Comerciales)	2ß Comerci	83,74	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	1ß ITelec	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	1ß Ins Aut	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Gesti¢n Administrativa)	1ß Gesti¢n	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Actividades Comerciales)	1ß Comerci	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	2ß de F.P.B. (Electricidad y Electr¢nica)	2ß FPB	NA	40
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	1ß de F.P.B. (Electricidad y Electr¢nica)	1ß FPB	NA	40
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	2 D.A.Mult	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Administraci¢n y Finanzas)	2ß Adm-Fin	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	1 D.A.Mult	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Administraci¢n y Finanzas)	1ß Adm-Fin	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	2ß ITelec	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	2ß Ins Aut	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Gesti¢n Administrativa)	2ß Gesti¢n	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Actividades Comerciales)	2ß Comerci	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	1ß ITelec	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	1ß Ins Aut	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Gesti¢n Administrativa)	1ß Gesti¢n	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.3 % de alumnos contratados en empresas tras haber terminado la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Actividades Comerciales)	1ß Comerci	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	2ß de F.P.B. (Electricidad y Electr¢nica)	2ß FPB	39,91	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	1ß de F.P.B. (Electricidad y Electr¢nica)	1ß FPB	NA	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	2 D.A.Mult	42,05	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Administraci¢n y Finanzas)	2ß Adm-Fin	35,41	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	1 D.A.Mult	NA	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Administraci¢n y Finanzas)	1ß Adm-Fin	NA	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	2ß ITelec	73,53	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	2ß Ins Aut	29,4	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Gesti¢n Administrativa)	2ß Gesti¢n	73,41	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Actividades Comerciales)	2ß Comerci	59,76	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	1ß ITelec	NA	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	1ß Ins Aut	NA	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Gesti¢n Administrativa)	1ß Gesti¢n	NA	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.2 % de alumnos que aprueban con apto el m¢dulo de FCT sobre los que han realizado la FCT.	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Actividades Comerciales)	1ß Comerci	NA	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	2ß de F.P.B. (Electricidad y Electr¢nica)	2ß FPB	40,37	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	1ß de F.P.B. (Electricidad y Electr¢nica)	1ß FPB	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	2 D.A.Mult	76,31	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Administraci¢n y Finanzas)	2ß Adm-Fin	17,91	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	1 D.A.Mult	NA	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Administraci¢n y Finanzas)	1ß Adm-Fin	NA	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	2ß ITelec	92,37	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	2ß Ins Aut	82,91	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Gesti¢n Administrativa)	2ß Gesti¢n	4,51	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Actividades Comerciales)	2ß Comerci	63,36	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	1ß ITelec	NA	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	1ß Ins Aut	NA	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Gesti¢n Administrativa)	1ß Gesti¢n	NA	80
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.1 % de alumnos matriculados en segundo curso que realizan el m¢dulo de FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Actividades Comerciales)	1ß Comerci	NA	80
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	SECUNDARIA	4ß CICLO ESO	4ß de E.S.O.	ESO 4ßB	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	SECUNDARIA	4ß CICLO ESO	4ß de E.S.O.	ESO 4ßC	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	SECUNDARIA	4ß CICLO ESO	4ß de E.S.O.	ESO 4ßA	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	SECUNDARIA	3ß CICLO ESO	3ß de E.S.O.	ESO 3ßB	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	SECUNDARIA	3ß CICLO ESO	3ß de E.S.O.	ESO 3ßC	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	SECUNDARIA	3ß CICLO ESO	3ß de E.S.O.	ESO 3ßA	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	SECUNDARIA	2ß CICLO ESO	2ß de E.S.O.	ESO 2ßA	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	SECUNDARIA	2ß CICLO ESO	2ß de E.S.O.	ESO 2ßB	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	SECUNDARIA	2ß CICLO ESO	2ß de E.S.O.	ESO 2ßC	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	SECUNDARIA	1ß CICLO ESO	1ß de E.S.O.	ESO 1ßA	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	SECUNDARIA	1ß CICLO ESO	1ß de E.S.O.	ESO 1ßB	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	SECUNDARIA	1ß CICLO ESO	1ß de E.S.O.	ESO 1ßC	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	PRIMARIA	3ß CICLO PRIMARIA	6ß de Educ. Prima.	EPO 6ßB	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	PRIMARIA	3ß CICLO PRIMARIA	6ß de Educ. Prima.	EPO 6ßA	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	PRIMARIA	3ß CICLO PRIMARIA	5ß de Educ. Prima.	EPO 5ßA	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	PRIMARIA	3ß CICLO PRIMARIA	5ß de Educ. Prima.	EPO 5ßB	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	PRIMARIA	2ß CICLO PRIMARIA	4ß de Educ. Prima.	EPO 4ßA	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	PRIMARIA	2ß CICLO PRIMARIA	4ß de Educ. Prima.	EPO 4ßB	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	PRIMARIA	2ß CICLO PRIMARIA	3ß de Educ. Prima.	EPO 3ßB	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	PRIMARIA	2ß CICLO PRIMARIA	3ß de Educ. Prima.	EPO 3ßA	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	PRIMARIA	1ß CICLO PRIMARIA	2ß de Educ. Prima.	EPO 2ßA	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	PRIMARIA	1ß CICLO PRIMARIA	2ß de Educ. Prima.	EPO 2ßB	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	PRIMARIA	1ß CICLO PRIMARIA	1ß de Educ. Prima.	EPO 1ßB	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	PRIMARIA	1ß CICLO PRIMARIA	1ß de Educ. Prima.	EPO 1ßA	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	INFANTIL	2ß CICLO INFANTIL	Tres A§os	E.Inf. 3.A	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	INFANTIL	2ß CICLO INFANTIL	Tres A§os	E.Inf. 3.B	NA	60
P.C. 12. IMAGEN DEL CENTRO	"IND 12.7 Grado de satisfacci¢n de los padres con la Plataforma ""QE Escuela-Familia"""	INFANTIL	2ß CICLO INFANTIL	Cuatro A§os	E.Inf. 4.A	NA	60
